Issue key,Issue id,Parent id,Project key,Project name,Project type,Project lead,Project description,Project url,Custom field (Epic Name),Issue Type,Priority,Summary,Assignee,Custom field (Squad),Custom field (Team),Status,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Resolution,Custom field (Story Points)
EFDDH-1184,8110069,8087911,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Sub Task,High,Design Enhanced Visualization Components,deshpav1,Black Panther Core,,In Progress,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,
EFDDH-1183,8110065,8087911,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Sub Task,High,Analyse Current Metrics Coverage,deshpav1,Black Panther Core,,In Progress,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,
EFDDH-1182,8101562,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,ARF223:Framework: 223 - FLAT DBT models for  SBLDGR_PITB_SOURCE_APPGRP1,geesalan,Black Panther Core,,Story in Progress,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,3
EFDDH-1181,8100025,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Misc: TD - assessment mandatory ,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,1
EFDDH-1180,8100024,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: FD req for GEARBOX,kummarip,Black Panther Core,,Story in Progress,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,2
EFDDH-1179,8087920,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Release checklist tracking and X-Ray test suite monitoring,deshpav1,Black Panther Core,,Backlog,,,,,,,,,,,,,,,,,,,,5
EFDDH-1178,8087919,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Improve and enhance Sprint retros,deshpav1,Black Panther Core,,Backlog,,,,,,,,,,,,,,,,,,,,5
EFDDH-1177,8087917,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Velocity Tracking,deshpav1,Black Panther Core,,Backlog,,,,,,,,,,,,,,,,,,,,5
EFDDH-1176,8087916,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Estimation Exercises,deshpav1,Black Panther Core,,Backlog,,,,,,,,,,,,,,,,,,,,5
EFDDH-1175,8087915,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Story Refinement,deshpav1,Black Panther Core,,Backlog,,,,,,,,,,,,,,,,,,,,5
EFDDH-1174,8087914,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Medium,JIRA Handbook Update,deshpav1,Black Panther Core,,Backlog,,,,,,,,,,,,,,,,,,,,5
EFDDH-1173,8087911,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,High,Dashboard Enhancement Review and Optimization for EFDDH Project Metrics,deshpav1,Black Panther Core,,Story in Progress,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,8
EFDDH-1172,8087903,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,EFDDH-1125,Epic,Medium,JIRA & Scrum Enhancements,deshpav1,Black Panther Core,,Epic in Progress,BP: EFDDH Sprint 20,,,,,,,,,,,,,,,,,,,45
EFDDH-1171,8085983,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: BRS : tables strcture & mapping of TD- for getting BQ data back to TD for recon ,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1170,8083144,8063443,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Sub Task,Low,Integrate checkmarx in codefresh pipeline,thiruns1,Black Panther Core,,In Progress,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,
EFDDH-1169,8083140,8063443,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Sub Task,Low,Create token from the service account,thiruns1,Black Panther Core,,In Progress,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,
EFDDH-1167,8083125,8063443,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Sub Task,Low,Request add Ad group in checkmarx,thiruns1,Black Panther Core,,In Review,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,Fixed,
EFDDH-1166,8083115,8063443,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Sub Task,Low,Create Service Account: create unix ad group ,thiruns1,Black Panther Core,,In Review,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,Fixed,
EFDDH-1165,8083110,8063443,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Sub Task,Low,Create Ad group,thiruns1,Black Panther Core,,In Review,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,
EFDDH-1164,8081276,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Build: 223 - String Compare for Like Operator,gupta118,Black Panther Core,,Story in Progress,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,3
EFDDH-1163,8081264,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Framework: 223 - DBT Lineage for CNF_T Tables,gupta118,Black Panther Core,,Story in Progress,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,3
EFDDH-1161,8079826,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: BRS : ADF release checklist requirements like GCOP DIA DM etc ,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1160,8079825,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: BRS : History data requirements ,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1159,8079821,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: BRS : Functional testing and Sign off ,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1158,8079818,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: BRS : Recon requirements with TD ,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1157,8079816,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,"Nga Tapuwae: BRS : Solution design, Data model from Alex and team whether to use MD sheet output or something else to consume QR outputs while implementing business rules of RegDH and loading into RegDH",kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1156,8079815,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: BRS : Business rules and requirements documentation ,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1155,8079814,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: BRS : Supply test Data to complete build and SIT,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1154,8079813,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: BRS : review and document on TIme based trigger and JCF or event based ,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1153,8079812,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: Build : End to End DAG orchestration ,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1152,8079809,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: Build : Linting and formatting of dbt models created,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1151,8079808,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: Build : Create DBT models via BQ queries.,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1150,8079807,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: Build : COnvert SQLs into BQ Queries using BQ translator,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1149,8079803,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,"Nga Tapuwae: Build : Based on the Business requirements and Framework MD sheet requirements, generate TD SQLs with the inputs from Business ",kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1148,8079800,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: Build : Integration of QR out put Datasets/tables into RegDH DataSet via DAGs,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,2
EFDDH-1147,8079797,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: Build : QR SIT testing for all identified tables ,muralib2,Black Panther Core,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,2
EFDDH-1146,8079796,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga Tapuwae: FD req for QR ,thirunab,Black Panther Core,,Story Done,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,Done,2
EFDDH-1145,8078604,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : BRS : QR Service Account for DEV creation for RSDS,thirunab,Black Panther Core,,Story Done,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,Done,5
EFDDH-1144,8071760,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : Build : QR Integration of MBPNZ_TERM_DEPOSIT_BREAK from RegDH Dev environment and Testing,thirunab,Black Panther Core,,Backlog,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,1
EFDDH-1143,8071459,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : Build : QR Integration of MBPNZ_DEPOSIT_TRANSACTION from RegDH Dev environment and Testing,thirunab,Black Panther Core,,Backlog,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,1
EFDDH-1142,8071457,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : Build : QR Integration of MBPNZ_DEPOSIT_TAX from RegDH Dev environment and Testing,thirunab,Black Panther Core,,Backlog,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,1
EFDDH-1141,8071454,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : Build : QR Integration of MBPNZ_DEPOSIT_PERIODIC_BALANCE from RegDH Dev environment and Testing,thirunab,Black Panther Core,,Backlog,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,1
EFDDH-1140,8071453,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : Build : QR Integration of MBPNZ_DEPOSIT_GNRL_LDGR_DAILYBAL from RegDH Dev environment and Testing,thirunab,Black Panther Core,,Backlog,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,1
EFDDH-1139,8071451,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : Build : QR Integration of MBPNZ_DEPOSIT_AFFILIATE_ACCOUNT from RegDH Dev environment and Testing,thirunab,Black Panther Core,,Backlog,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,1
EFDDH-1138,8071449,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : Build : QR Integration of MBPNZ_DEPOSIT_ADDTNL_TRANS_INFO from RegDH Dev environment and Testing,gupta118,Black Panther Core,,Backlog,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,1
EFDDH-1137,8071448,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : Build : QR Integration of MBPNZ_DEPOSIT_ADDITIONAL_INFO from RegDH Dev environment and Testing,gupta118,Black Panther Core,,Backlog,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,1
EFDDH-1136,8071446,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : Build : QR Integration of MBPNZ_DEPOSIT_ACCOUNT_HOLD from RegDH Dev environment and Testing,gupta118,Black Panther Core,,Backlog,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,1
EFDDH-1135,8071445,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : Build : QR Integration of MBPNZ_DEPOSIT_ACCOUNT_BALANCE from RegDH Dev environment and Testing,gupta118,Black Panther Core,,Backlog,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,1
EFDDH-1134,8071444,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : Build : QR Integration of MBPNZ_DEPOSIT_ACCOUNT from RegDH Dev environment and Testing,gupta118,Black Panther Core,,Backlog,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,1
EFDDH-1133,8071412,8032347,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Sub Task,Low,Providing the Teradata Table structure for comparing with .tfvars file,kummarip,Black Panther Core,,To Do,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,
EFDDH-1132,8071125,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : Build : QR Integration of MBPNZ_CUSTOMER_ADDRESS from RegDH Dev environment and Testing,gupta118,Black Panther Core,,Backlog,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,1
EFDDH-1131,8069882,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : Build : QR  Dev loading for 12 MBP tables,thirunab,Black Panther Core,,Story in Progress,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,5
EFDDH-1130,8069445,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : BRS : QR IA creation for 12 MBP tables,thirunab,Black Panther Core,,In Release,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,5
EFDDH-1129,8069390,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Platform:Build: Enable Composer in Development,mahajaa4,,,Story in Review,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,1
EFDDH-1128,8067818,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Blocker,ARF223: TD Bug: Duplicate records in ABYSS_APP_TO_ARFCLTEFS_LINK_PHY,shaiks5,Black Panther Core,,Story in Progress,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,1
EFDDH-1126,8063889,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Platform:Build: Pipeline Status Notification for Failures,mahajaa4,,,Story Done,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,,,,,,,,,,,,,,,Done,3
EFDDH-1125,8063443,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Medium,Platform: CICD : Integrate codefresh pipeline with checkmarx,thiruns1,,,Story in Progress,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,5
EFDDH-1124,8063006,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,High,ARF223:Framework: 223 - Correct the copy process - REF_Schema to cad_regdh_ref_<env>/cad_regdh_ref_metadata,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,,,,,,,,,,,,,,,,,Done,1
EFDDH-1123,8062699,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,Platform:Build: Data Engineers do not have access to interactive SQL translator,mahajaa4,,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,1
EFDDH-1122,8062693,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Medium,Platform:Build: Data Engineers do not have access to all tables under job_control_framework,mahajaa4,,,To Do,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,1
EFDDH-1121,8061115,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Global Service Account for CodeScan,thiruns1,Black Panther Core,,Story Done,BP: EFDDH Sprint 18,,,,,,,,,,,,,,,,,,Done,5
EFDDH-1120,8061114,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Global Service Account for CodeScan,nguyt120,Black Panther Core,,Story Done,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,Done,5
EFDDH-1119,8058340,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,Platform:Build: Bug : In Anz-Fin-Datahub-Metadata repo the reviewers group does not gets automatically added,mahajaa4,,,Story Done,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,,,,,,,,,,,,,,,Done,1
EFDDH-1118,8057274,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:IAM: 223 - access to Ankur ,kummarip,Black Panther Core,,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,,,,,,Done,5
EFDDH-1116,8055204,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Framework: 223 - FLAT - Missing Models for DAGs,jillelam,Black Panther Core,,Story in Review,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,3
EFDDH-1114,8048012,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Nga : BRS : SA and Dataset names and find existing patters for QR,thirunab,Black Panther Core,,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,,,,,,,,,Done,5
